"","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"294","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","E. colia","=14 organisms/100 mL (monthly geometric mean)

			=25 organisms/100 mL (daily maximum)","Daily","North Carolina"
"295","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Coliphages (type not specified)","=5 organisms/100 mL (monthly geometric mean)

			=25 organisms/100 mL (daily maximum)","Daily","North Carolina"
"296","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Clostridium perfringens","=5 organisms/100 mL (monthly geometric mean)

			=25 organisms/100 mL (daily maximum)","Daily","North Carolina"
"297","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Fecal coliforma","=14 organisms/100 mL (monthly geometric mean)

			=25 organisms/100 mL (daily maximum)","Daily","North Carolina"
"298","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Turbidity","=5 NTU","Not specified","North Carolina"
"299","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Nitrogen","Not specified","Not specified","North Carolina"
"300","Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","Phosphorus","Not specified","Not specified","North Carolina"
"301","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Turbidity","=2 NTU (daily average)

			=2 NTU (> 5% of daily maximum per month)

			=10 NTU (single sample maximum)","Continuous monitoring. The daily mean operating filter effluent turbidity (continuously monitored) is calculated as the average of turbidity measures at = 1.2-hour intervals over 24 hours and must be reported monthly. The maximum 24-hour turbidity must be based on highest measure from continuous monitoring taken at = 1.2-hour intervals over 24 hours.","Oklahoma"
"302","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Chlorine residual (at POEa to distribution system)","=1.0 ppm (free available chlorine residual) or

			“the chlorine residual at the POE shall be at a level to prevent growth of slime and regrowth of pathogens in the distribution and storage systems as determined by an approved chlorine decay rate model pursuant to OAC 252:656-3-4 (b)(7)(C)”","Continuous monitoring","Oklahoma"
"303","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Chlorine residual (at end-of-pipe)","=0.20 mg/L (free available chlorine residual)

			or

			=0.50 mg/L (combined chlorine residual)","Daily","Oklahoma"
"304","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Fecal coliform","0 CFU/100 mL (in four of the last seven daily samples)

			=23 CFU/100mL (single sample maximum)","Daily","Oklahoma"
"305","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Total Nitrogen","""= most stringent agronomic rate""","Monthly","Oklahoma"
"306","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Total Phosphorus","""= most stringent agronomic rate""","Monthly","Oklahoma"
"307","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","5-day carbonaceous biochemical oxygen demand (CBOD5)","<5 mg/L","Weekly","Oklahoma"
"308","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Adenovirus type 15","5-log removal or inactivation","The method of disinfection must achieve these removals","Oklahoma"
"309","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Salmonella typhimurium","5-log removal or inactivation","The method of disinfection must achieve these removals","Oklahoma"
"310","Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","Giardia lamblia","3-log removal or inactivation","The method of disinfection must achieve these removals","Oklahoma"
"311","Category 3 (Drip or subsurface irrigation of orchards and vineyards; Irrigation of livestock pasture; Restricted access irrigation of sod farms)","Municipal wastewater","Chlorine residual","=0.20 mg/L (free available chlorine residual) or

			=0.50 mg/L (combined chlorine residual)","Every 12 hours, measured at the POE","Oklahoma"
"312","Category 3 (Drip or subsurface irrigation of orchards and vineyards; Irrigation of livestock pasture; Restricted access irrigation of sod farms)","Municipal wastewater","Fecal coliform","<200 coli/100 mL (monthly geometric mean)

			<400 coli/100 mL (single sample maximum)","3 times/week","Oklahoma"
"313","Category 3 (Drip or subsurface irrigation of orchards and vineyards; Irrigation of livestock pasture; Restricted access irrigation of sod farms)","Municipal wastewater","Total Nitrogen","""= most stringent agronomic rate""","Monthly","Oklahoma"
"314","Category 3 (Drip or subsurface irrigation of orchards and vineyards; Irrigation of livestock pasture; Restricted access irrigation of sod farms)","Municipal wastewater","Total Phosphorus","""= most stringent agronomic rate""","Monthly","Oklahoma"
"315","Category 3 (Drip or subsurface irrigation of orchards and vineyards; Irrigation of livestock pasture; Restricted access irrigation of sod farms)","Municipal wastewater","5-day biochemical oxygen demand (BOD5) or 5-day carbonaceous biochemical oxygen demand (CBOD5)","<20 mg/L","Weekly","Oklahoma"
"316","Category 5 (Restricted access irrigation of fiber, seed, forage and similar crops; Restricted access pasture irrigation for range cattle; Silviculture)","Municipal wastewater","Dissolved oxygen (DO)",">2.0 mg/L","Weekly","Oklahoma"
"317","Category 5 (Restricted access irrigation of fiber, seed, forage and similar crops; Restricted access pasture irrigation for range cattle; Silviculture)","Municipal wastewater","Nitrogen","Not specified","Not specified","Oklahoma"
"318","Category 5 (Restricted access irrigation of fiber, seed, forage and similar crops; Restricted access pasture irrigation for range cattle; Silviculture)","Municipal wastewater","Phosphorus","Not specified","Not specified","Oklahoma"
"319","Class A (Irrigation of any agricultural or horticultural use)","Domestic wastewater","Turbidity","2 NTU (24-hr mean)

			5 NTU (5% of time during a 24-hr period)

			10 NTU (single sample maximum)","Hourly using the nephelometric methodc","Oregon"
"320","Class A (Irrigation of any agricultural or horticultural use)","Domestic wastewater","Total coliform","=2.2 organisms/100 mL (7-day median)

			=23 organisms/100 mL (single sample maximum)","Daily using either single step membrane filtration, Most Probable Number or Membrane Filtration (single step or two step)d","Oregon"
"321","Class A (Irrigation of any agricultural or horticultural use)","Domestic wastewater","Nitrogen","Only monitoring required to ensure the water is applied at appropriate agronomic rates both hydrologically as well as nutrient balance for the crop","Specified in each project’s Recycled Water Use Plan","Oregon"
"322","Class A (Irrigation of any agricultural or horticultural use)","Domestic wastewater","Phosphorus","Only monitoring required to ensure the water is applied at appropriate agronomic rates both hydrologically as well as nutrient balance for the crop","Specified in each project’s Recycled Water Use Plan","Oregon"
"323","Class C (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber, fodder, fiber, seed crops not intended for human ingestion)","Domestic wastewater","Total coliform","=23 organisms/100 mL (7-day median)

			=240 organisms/100 mL (maximum in 2 consecutive samples)","Once a week using either single step membrane filtration, Most Probable Number or Membrane Filtration (single step or two step)d","Oregon"
"324","Class C (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber, fodder, fiber, seed crops not intended for human ingestion)","Domestic wastewater","Nitrogen","Only monitoring is required to ensure the water is applied at appropriate agronomic rates both hydrologically as well as nutrient balance for the crop","Specified in each project’s Recycled Water Use Plan","Oregon"
"325","Class C (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber, fodder, fiber, seed crops not intended for human ingestion)","Domestic wastewater","Phosphorus","Only monitoring is required to ensure the water is applied at appropriate agronomic rates both hydrologically as well as nutrient balance for the crop","Specified in each project’s Recycled Water Use Plan","Oregon"
"326","Class D (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber)","Domestic wastewater","E. coli","=126 MPN (30-day log mean)

			=406 MPN (single sample maximum)","Once a week using either most probable number 7, 9, 15, multiple tube, multiple tube/multiple well or membrane filtration (two step or single step)e","Oregon"
"327","Class D (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber)","Domestic wastewater","Nitrogen","Only monitoring is required to ensure the water is applied at appropriate agronomic rates both hydrologically as well as nutrient balance for the crop","Specified in each project’s Recycled Water Use Plan","Oregon"
"328","Class D (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber)","Domestic wastewater","Phosphorus","Only monitoring is required to ensure the water is applied at appropriate agronomic rates both hydrologically as well as nutrient balance for the crop","Specified in each project’s Recycled Water Use Plan","Oregon"
"329","Nondisinfected (Irrigation of fodder, fiber, seed crops not intended for human ingestion)","Domestic wastewater","None","None","None","Oregon"
"330","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","Biochemical oxygen demand (BOD)","<10 mg/L (monthly average)

			20 mg/L (single sample maximum)","Weekly monitoring","Pennsylvania"
"331","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","Turbidity","<10 NTU (monthly average)

			15 NTU (single sample maximum)","Continuous monitoring","Pennsylvania"
"332","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","Fecal coliform","<2.2 organisms/100 mL (monthly average)

			23 organisms/100 mL (single sample maximum)","Monitoring 2/week","Pennsylvania"
"333","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","Total chlorine residualb","=1.0 mg/L (maintained for a minimum contact time of 30 minutes at the design average flow)

			>0.02 mg/L (at point of reuse application)","Continuous online monitoring","Pennsylvania"
"334","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","UV light design dosec","=100 mJ/cm2 under maximum daily flow

			=80 mJ/cm2 (if porous membrane filtration was used)

			=50 mJ/cm2 (if semi-permeable membrane filtration was used)","Continuous monitoring of lamp intensity, UV transmittance and flow rate","Pennsylvania"
"335","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","Nitrogend","Not specified","Not specified","Pennsylvania"
"336","Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","Phosphorus","Not specified","Not specified","Pennsylvania"
"337","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","Biochemical oxygen demand (BOD)","<30 mg/L (monthly average)

			45 mg/L (single sample maximum)","Weekly monitoring","Pennsylvania"
"338","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","Total suspended solids (TSS)","<30 mg/L (monthly average)

			45 mg/L (single sample maximum)","Weekly monitoring","Pennsylvania"
"339","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","Fecal coliform","<200 organisms/100 mL (monthly average)

			800 organisms/100 mL (single sample maximum)","Weekly monitoring","Pennsylvania"
"340","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","Total chlorine residualb","=1.0 mg/L (maintained for a minimum contact time of 30 minutes at the design average flow)

			>0.02 mg/L (at point of reuse application)","Continuous online monitoring","Pennsylvania"
"341","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","UV light design dosec","=75 mJ/cm2 under maximum daily flow

			=60 mJ/cm2 (if porous membrane filtration was used)

			=40 mJ/cm2 (if semi-permeable membrane filtration was used)","Continuous monitoring of lamp intensity, UV transmittance and flow rate","Pennsylvania"
"342","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","Nitrogen","Not specified","Not specified","Pennsylvania"
"343","Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","Phosphorus","Not specified","Not specified","Pennsylvania"
"344","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Total residual chlorine","0.5 mg/L (30-minute contact time)","Must be met with a single sample","Rhode Island"
"345","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Total suspended solids (TSS)","5 mg/L","TSS must be achieved prior to final chlorination on a continuous basis, as verified through continuous monitoring of turbidity (NTU monitoring is sufficient provided facility can show equivalence to 5 mg/L)","Rhode Island"
"346","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Turbidity","NTU to correspond to 5 mg/L","TSS must be achieved prior to final chlorination on a continuous basis, as verified through continuous monitoring of turbidity (NTU monitoring is sufficient provided facility can show equivalence to 5 mg/L); Must be met with a single sample","Rhode Island"
"347","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Biochemical oxygen demand (BOD)","10 mg/L","Five-day average","Rhode Island"
"348","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Fecal coliform","23 (unit not provided)/100 mL","Five-day average","Rhode Island"
"349","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Total Nitrogen","15 mg/L","Five-day average","Rhode Island"
"350","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","pH","6–9","Not specified","Rhode Island"
"351","Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","Phosphorus","Not specified","Not specified","Rhode Island"
"352","Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","5-day biochemical oxygen demand (BOD5) or 5-day carbonaceous biochemical oxygen demand (CBOD5)","5 mg/L","Type I reclaimed water must be sampled twice per week.","Texas"
"353","Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","Turbidity","3 NTU","Type I reclaimed water must be sampled twice per week.","Texas"
"354","Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","Fecal coliform or E. coli","20 CFU/100 mL (30-day geometric mean)

			75 CFU/100 mL (single sample maximum)","Type I reclaimed water must be sampled twice per week.","Texas"
"355","Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","Enterococci","4 CFU/100 mL (30-day geometric mean)

			9 CFU/100 mL (single sample maximum)","Type I reclaimed water must be sampled twice per week.","Texas"
"356","Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","Nitrogen","Not specified","Not specified","Texas"
"357","Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","Phosphorus","Not specified","Not specified","Texas"
"358","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","5-day biochemical oxygen demand (BOD5) or 5-day carbonaceous biochemical oxygen demand (CBOD5) (for a system other than a pond system)a","20 mg/L (BOD5)

			15 mg/L (CBOD5)","Type II reclaimed water must be sampled once per week.","Texas"
"359","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","5-day biochemical oxygen demand (BOD5) (for a pond system)a","30 mg/L","Type II reclaimed water must be sampled once per week.","Texas"
"360","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","Turbidity","3 NTU","Type II reclaimed water must be sampled once per week.","Texas"
"361","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","Fecal coliform or E. coli","200 CFU/100 mL (30-day geometric mean)

			800 CFU/100 mL (single sample maximum)","Type II reclaimed water must be sampled once per week.","Texas"
"362","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","Enterococci","35 CFU/100 mL (30-day geometric mean)

			89 CFU/100 mL (single sample maximum)","Type II reclaimed water must be sampled once per week.","Texas"
"363","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","Nitrogen","Not specified","Not specified","Texas"
"364","Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","Phosphorus","Not specified","Not specified","Texas"
"365","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","Biochemical oxygen demand (BOD)","=10 mg/L (monthly arithmetic mean)","Weekly composite sampling; composite samples shall be comprised of at least six flow proportionate samples taken over a 24-hour period.","Utah"
"366","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","Turbiditya","=2 NTU (daily arithmetic mean)

			=5 NTU (single sample maximum)","Continuous monitoring prior to disinfection","Utah"
"367","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","Total suspended solids (TSS)","=5 mg/L","Continuous monitoring prior to disinfection","Utah"
"368","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","E. coli","None detected (weekly median)

			=9 organisms/100 mL (single sample maximum)","Daily grab sampling","Utah"
"369","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","pH","6–9","Daily grab samples or continuous monitoring","Utah"
"370","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","Total residual chlorine","=1.0 mg/L","Continuous monitoring after 30 minutes contact time at peak flow (after disinfection and before the treated effluent goes into the distribution system)","Utah"
"371","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","Nitrogen","Not specified, but agronomic rates of application are required.","n/a","Utah"
"372","Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","Phosphorus","Not specified, but agronomic rates of application are required.","n/a","Utah"
"373","Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","Biochemical oxygen demand (BOD)","=25 mg/L (monthly arithmetic mean)","Weekly composite sampling; composite samples shall be comprised of at least six flow proportionate samples taken over a 24-hour period.","Utah"
"374","Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","Total suspended solids (TSS)","=25 mg/L (monthly arithmetic mean)

			=35 mg/L (weekly mean)","Daily composite sampling","Utah"
"375","Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","E. coli","=126 organisms/100 mL (weekly median)

			=500 organisms/100 mL (single sample maximum)","Daily grab sampling","Utah"
"376","Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","pH","6–9","Daily grab sampling or continuous monitoring","Utah"
"377","Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","Nitrogen","Not specified, but agronomic rates of application are required.","n/a","Utah"
"378","Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","Phosphorus","Not specified, but agronomic rates of application are required.","n/a","Utah"
"379","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","Fecal coliformc","=14 colonies/100 mL (monthly geometric meand)

			>49 colonies/100 mL (corrective action threshold)","Measured after all reclaimed water treatment, including disinfection and prior to discharge to a reclaimed water distribution system between 10 am and 4 pm. The sampling frequency depends on the reclamation system designated design flow:

			>0.500 MGD= Daily (reduction to 4 days/week allowed)
				0.050–0.500 MGD= 4 days/week (reduction to 3 days/week allowed)
				<0.050= 3 days/week (no reduction allowed)
			Monitoring of the CAT for fecal coliform, E. coli or enterococci shall be based on the bacteriological monitoring results determined for each day a sample is collected.","Virginia"
"380","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","E. colic","=11 colonies/100 mL (monthly geometric meand)

			>35 colonies/100 mL (corrective action threshold)","Measured after all reclaimed water treatment, including disinfection and prior to discharge to a reclaimed water distribution system between 10 am and 4 pm. The sampling frequency depends on the reclamation system designated design flow:

			>0.500 MGD= Daily (reduction to 4 days/week allowed)
				0.050–0.500 MGD= 4 days/week (reduction to 3 days/week allowed)
				<0.050= 3 days/week (no reduction allowed)
			Monitoring of the CAT for fecal coliform, E. coli or enterococci shall be based on the bacteriological monitoring results determined for each day a sample is collected.","Virginia"
"381","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","Enterococcic","=11 colonies/100 mL (monthly geometric meand)

			>24 colonies/100 mL (corrective action threshold)","Measured after all reclaimed water treatment, including disinfection and prior to discharge to a reclaimed water distribution system between 10 am and 4 pm. The sampling frequency depends on the reclamation system designated design flow:

			>0.500 MGD= Daily (reduction to 4 days/week allowed)
				0.050–0.500 MGD= 4 days/week (reduction to 3 days/week allowed)
				<0.050= 3 days/week (no reduction allowed)
			Monitoring of the CAT for fecal coliform, E. coli or enterococci shall be based on the bacteriological monitoring results determined for each day a sample is collected.","Virginia"
"382","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","pH","6.0–9.0","Daily grab samples at the POC.","Virginia"
"383","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","5-day biochemical oxygen demand (BOD5) or 5-day carbonaceous biochemical oxygen demand (CBOD5)","=10 mg/L (monthly average BOD5)

			or

			=8 mg/L (monthly average CBOD5)e","Weekly sampling or more frequent based on the designated design flow of the reclamation system; sampling at the POC.","Virginia"
"384","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","Total residual chlorinef","<1.0 mg/Lg (corrective action threshold)","Continuous online monitoring at the end of the contact tank or contact period. Minimum contact time is 30 minutes at average flow or 20 minutes at peak flow.","Virginia"
"385","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","Turbiditya,h","=2 NTU (daily average of discreet measurements

			recorded over a 24-hour period)

			

			>5 NTU (corrective action threshold)","Continuous online monitoring just upstream of disinfection.","Virginia"
"386","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","UV light design dosei","=100,000 uWsec/cm2","Continuous monitoring.","Virginia"
"387","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","UV transmittancei","=55% at 254 nm","Not specified","Virginia"
"388","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","Nitrogenj","Not specified","Not specified","Virginia"
"389","Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","Phosphorusj","Not specified","Not specified","Virginia"
"390","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","Fecal coliformc","=200 colonies/100 mL (monthly geometric meand)

			>800 colonies/100 mL (corrective action threshold)","Measured after all reclaimed water treatment, including disinfection and prior to discharge to a reclaimed water distribution system. The sampling is based on the reclamation system designated design flow and must be the same sampling type and frequency as specified for sewage treatment works in the Sewage Collection and Treatment Regulations (9 Va. Admin. Code § 25-790).","Virginia"
"391","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","E. colic","=126 colonies/100 mL (monthly geometric meand)

			>235 colonies/100 mL (corrective action threshold)","Measured after all reclaimed water treatment, including disinfection and prior to discharge to a reclaimed water distribution system. The sampling is based on the reclamation system designated design flow and must be the same sampling type and frequency as specified for sewage treatment works in the Sewage Collection and Treatment Regulations (9 Va. Admin. Code § 25-790).","Virginia"
"392","Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b","Municipal wastewater","Enterococcic","=35 colonies/100 mL (monthly geometric meand)

			>104 colonies/100 mL (corrective action threshold)","Measured after all reclaimed water treatment, including disinfection and prior to discharge to a reclaimed water distribution system. The sampling is based on the reclamation system designated design flow and must be the same sampling type and frequency as specified for sewage treatment works in the Sewage Collection and Treatment Regulations (9 Va. Admin. Code § 25-790).","Virginia"
